snap,ts_ns,side,rank,price,size
0,1784621730147963300,b,0,66240.38,0.03887981
0,1784621730147963300,b,1,66239.05,0.01509684
0,1784621730147963300,b,2,66238.73,0.00683906
0,1784621730147963300,b,3,66237.56,0.001541
0,1784621730147963300,b,4,66237.48,0.0007456
0,1784621730147963300,b,5,66236.8,0.00153174
0,1784621730147963300,b,6,66236.5,0.00660464
0,1784621730147963300,b,7,66236.43,0.03434449
0,1784621730147963300,b,8,66236,0.0079
0,1784621730147963300,b,9,66235.64,0.52015733
0,1784621730147963300,b,10,66234,0.0083
0,1784621730147963300,b,11,66233.6,0.00153174
0,1784621730147963300,a,0,66240.39,1.74598343
0,1784621730147963300,a,1,66241.72,0.01509622
0,1784621730147963300,a,2,66242,0.0079
0,1784621730147963300,a,3,66242.05,0.0056779
0,1784621730147963300,a,4,66242.45,0.0227032
0,1784621730147963300,a,5,66242.46,0.07209876
0,1784621730147963300,a,6,66242.47,0.12076844
0,1784621730147963300,a,7,66243.2,0.00153174
0,1784621730147963300,a,8,66243.4,0.09070899
0,1784621730147963300,a,9,66243.41,0.12364228
0,1784621730147963300,a,10,66244,0.0079
0,1784621730147963300,a,11,66244.28,0.00660473
1,1784621731100776000,b,0,66222.2,0.00155556
1,1784621731100776000,b,1,66221.53,0.00528526
1,1784621731100776000,b,2,66221.5,0.10989397
1,1784621731100776000,b,3,66220.8,0.00153174
1,1784621731100776000,b,4,66220,0.01
1,1784621731100776000,b,5,66219.87,0.00528526
1,1784621731100776000,b,6,66219.79,1.7e-05
1,1784621731100776000,b,7,66218.55,0.62002035
1,1784621731100776000,b,8,66218.5,0.06
1,1784621731100776000,b,9,66217.64,0.00660657
1,1784621731100776000,b,10,66217.6,0.00153174
1,1784621731100776000,b,11,66217.52,0.00044028
1,1784621731100776000,a,0,66223.77,0.03342
1,1784621731100776000,a,1,66223.79,0.05872
1,1784621731100776000,a,2,66227.08,0.0253
1,1784621731100776000,a,3,66227.22,0.11600899
1,1784621731100776000,a,4,66227.8,0.09553241
1,1784621731100776000,a,5,66227.81,0.12900255
1,1784621731100776000,a,6,66228.08,0.0227032
1,1784621731100776000,a,7,66230.16,0.09070899
1,1784621731100776000,a,8,66232.15,0.09070899
1,1784621731100776000,a,9,66233.55,0.12078471
1,1784621731100776000,a,10,66234.13,0.22404106
1,1784621731100776000,a,11,66234.14,0.09070899
2,1784621731271491800,b,0,66229.47,0.03420281
2,1784621731271491800,b,1,66229.46,0.03420281
2,1784621731271491800,b,2,66229.45,0.03420281
2,1784621731271491800,b,3,66223.87,0.00528497
