event_type,ts_ns,best_bid,best_ask,bid_size,ask_size,trade_price,trade_size,trade_side
trade,1784621728793647000,66240.38,66240.39,0.12057568,0.2411635,66240.38,6e-08,b
quote,1784621728793849100,66240.38,66240.39,0.12057568,0.2411635,0,0,
quote,1784621728793849100,66240.38,66240.39,0.12057568,0.2411635,0,0,
quote,1784621728793849100,66240.38,66240.39,0.12057568,0.2411635,0,0,
quote,1784621728793849100,66240.38,66240.39,0.12057568,0.2411635,0,0,
quote,1784621728793849100,66240.38,66240.39,0.12057568,0.2411635,0,0,
quote,1784621728793849100,66240.38,66240.39,0.12057568,0.2411635,0,0,
quote,1784621728793849100,66240.38,66240.39,0.12057568,0.2411635,0,0,
quote,1784621728793849100,66240.38,66240.39,0.12057568,0.2411635,0,0,
quote,1784621728793849100,66240.38,66240.39,0.12057568,0.2411635,0,0,
quote,1784621728793849100,66240.38,66240.39,0.12057568,0.2411635,0,0,
quote,1784621728793849100,66240.38,66240.39,0.12057568,0.2411635,0,0,
quote,1784621728793991500,66240.38,66240.39,0.12057568,0.2411635,0,0,
quote,1784621728793991500,66240.38,66240.39,0.12057568,0.2411635,0,0,
quote,1784621728793991500,66240.38,66240.39,0.12057568,0.2411635,0,0,
quote,1784621728793991500,66240.38,66240.39,0.12057568,0.2411635,0,0,
quote,1784621728793991500,66240.38,66240.39,0.12057568,0.2411635,0,0,
quote,1784621728793991500,66240.38,66240.39,0.12057568,0.2411635,0,0,
quote,1784621728793991500,66240.38,66240.39,0.12057568,0.2411635,0,0,
quote,1784621728793991500,66240.38,66240.39,0.12057568,0.2411635,0,0,
quote,1784621728794158400,66240.38,66240.39,0.12057568,0.2411635,0,0,
quote,1784621728794158400,66240.38,66240.39,0.12057568,0.2411635,0,0,
quote,1784621728794158400,66240.38,66240.39,0.12057568,0.2411635,0,0,
quote,1784621728794158400,66240.38,66240.39,0.12057568,0.2411635,0,0,
quote,1784621728794158400,66240.38,66240.39,0.12057568,0.2411635,0,0,
quote,1784621728794158400,66240.38,66240.39,0.12057568,0.2411635,0,0,
quote,1784621728794158400,66240.38,66240.39,0.12057568,0.2411635,0,0,
quote,1784621728794158400,66240.38,66240.39,0.12057568,0.2411635,0,0,
quote,1784621728794158400,66240.38,66240.39,0.12057568,0.2411635,0,0,
quote,1784621728794158400,66240.38,66240.39,0.12057568,0.2411635,0,0,
quote,1784621728794158400,66240.38,66240.39,0.12057568,0.2411635,0,0,
quote,1784621728794158400,66240.38,66240.39,0.12057568,0.2411635,0,0,
quote,1784621728794240400,66240.38,66240.39,0.12057568,0.2411635,0,0,
quote,1784621728794240400,66240.38,66240.39,0.12057568,0.2411635,0,0,
quote,1784621728794332100,66240.38,66240.39,0.12057568,0.2411635,0,0,
quote,1784621728794332100,66240.38,66240.39,0.12057568,0.2411635,0,0,
quote,1784621728794332100,66240.38,66240.39,0.12057568,0.2411635,0,0,
quote,1784621728794332100,66240.38,66240.39,0.12057568,0.2411635,0,0,
quote,1784621728794332100,66240.38,66240.39,0.12057568,0.2411635,0,0,
quote,1784621728794332100,66240.38,66240.39,0.12057568,0.2411635,0,0,
quote,1784621728794390300,66240.38,66240.39,0.12057568,0.2411635,0,0,
trade,1784621728794481800,66240.38,66240.39,0.12057568,0.2411635,66240.38,6e-08,b
quote,1784621728794740500,66240.38,66240.39,0.12057568,0.2411635,0,0,
quote,1784621728794740500,66240.38,66240.39,0.12057568,0.2411635,0,0,
quote,1784621728794740500,66240.38,66240.39,0.12057568,0.2411635,0,0,
quote,1784621728794740500,66240.38,66240.39,0.12057568,0.2411635,0,0,
quote,1784621728794740500,66240.38,66240.39,0.12057568,0.2411635,0,0,
quote,1784621728794740500,66240.38,66240.39,0.12057568,0.2411635,0,0,
quote,1784621728794740500,66240.38,66240.39,0.12057568,0.2411635,0,0,
quote,1784621728794740500,66240.38,66240.39,0.12057568,0.2411635,0,0,
quote,1784621728794740500,66240.38,66240.39,0.12057568,0.2411635,0,0,
quote,1784621728794740500,66240.38,66240.39,0.12057568,0.2411635,0,0,
quote,1784621728794740500,66240.38,66240.39,0.12057568,0.2411635,0,0,
quote,1784621728794740500,66240.38,66240.39,0.12057568,0.2411635,0,0,
quote,1784621728794740500,66240.38,66240.39,0.12057568,0.2411635,0,0,
quote,1784621728794740500,66240.38,66240.39,0.12057568,0.2411635,0,0,
quote,1784621728794740500,66240.38,66240.39,0.12057562,0.2411635,0,0,
quote,1784621728794740500,66240.38,66240.39,0.12057562,0.2411635,0,0,
quote,1784621728794740500,66240.38,66240.39,0.12057562,0.2411635,0,0,
quote,1784621728794740500,66240.38,66240.39,0.12057562,0.2411635,0,0,
quote,1784621728794740500,66240.38,66240.39,0.12057562,0.2411635,0,0,
quote,1784621728794740500,66240.38,66240.39,0.12057562,0.2411635,0,0,
quote,1784621728794740500,66240.38,66240.39,0.12057562,0.2411635,0,0,
quote,1784621728794740500,66240.38,66240.39,0.12057562,0.2411635,0,0,
quote,1784621728794740500,66240.38,66240.39,0.12057562,0.2411635,0,0,
quote,1784621728794740500,66240.38,66240.39,0.12057562,0.2411635,0,0,
quote,1784621728794740500,66240.38,66240.39,0.12057562,0.2411635,0,0,
quote,1784621728794875400,66240.38,66240.39,0.12057562,0.2411635,0,0,
quote,1784621728794875400,66240.38,66240.39,0.12057562,0.2411635,0,0,
quote,1784621728794875400,66240.38,66240.39,0.12057562,0.2411635,0,0,
quote,1784621728794875400,66240.38,66240.39,0.12057562,0.2411635,0,0,
quote,1784621728794875400,66240.38,66240.39,0.12057562,0.2411635,0,0,
quote,1784621728795011800,66240.38,66240.39,0.12057562,0.2411635,0,0,
quote,1784621728795011800,66240.38,66240.39,0.12057562,0.2411635,0,0,
quote,1784621728795011800,66240.38,66240.39,0.12057562,0.2411635,0,0,
quote,1784621728795011800,66240.38,66240.39,0.12057562,0.2411635,0,0,
quote,1784621728795011800,66240.38,66240.39,0.12057562,0.2411635,0,0,
quote,1784621728795011800,66240.38,66240.39,0.12057562,0.2411635,0,0,
quote,1784621728795135300,66240.38,66240.39,0.12057562,0.2411635,0,0,
quote,1784621728795135300,66240.38,66240.39,0.12057562,0.2411635,0,0,
quote,1784621728795135300,66240.38,66240.39,0.12057562,0.2411635,0,0,
quote,1784621728795135300,66240.38,66240.39,0.12057562,0.2411635,0,0,
quote,1784621728795135300,66240.38,66240.39,0.12057562,0.2411635,0,0,
quote,1784621728795135300,66240.38,66240.39,0.12057562,0.2411635,0,0,
quote,1784621728795135300,66240.38,66240.39,0.12057562,0.2411635,0,0,
quote,1784621728795135300,66240.38,66240.39,0.12057562,0.2411635,0,0,
quote,1784621728795522300,66240.38,66240.39,0.12057562,0.2411635,0,0,
quote,1784621728795522300,66240.38,66240.39,0.12057562,0.2411635,0,0,
quote,1784621728795522300,66240.38,66240.39,0.12057562,0.2411635,0,0,
