event_idx,ts_ns,best_bid,best_ask,bid_size,ask_size,mid,microprice,spread,imb1,imb5,imb10
0,1784620061772613300,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.673007513559
1,1784620061772613300,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.673007513559
2,1784620061772613300,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.673007513559
3,1784620061772613300,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.673007513559
4,1784620061772613300,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.673007513559
5,1784620061772613300,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.673007513559
6,1784620061772613300,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.673007513559
7,1784620061772613300,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.673007513559
8,1784620061772613300,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.673007513559
9,1784620061772613300,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.673007513559
10,1784620061772613300,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.673007513559
11,1784620061772613300,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.673007513559
12,1784620061772613300,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.673007513559
13,1784620061772613300,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.673007513559
14,1784620061772613300,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.673007513559
15,1784620061772613300,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.673007513559
16,1784620061772613300,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.673007513559
17,1784620061772613300,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.673007513559
18,1784620061772613300,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.673007513559
19,1784620061772613300,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.673007513559
20,1784620061772613300,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.673007513559
21,1784620061772613300,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.673007513559
22,1784620061772613300,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.673007513559
23,1784620061772613300,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.673007513559
24,1784620061772613300,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.673007513559
25,1784620061772613300,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.673007513559
26,1784620061772613300,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.673007513559
27,1784620061772613300,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.673007513559
28,1784620061772613300,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.673007513559
29,1784620061772613300,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.673007513559
30,1784620061772613300,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.673007513559
31,1784620061773401900,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.673007513559
32,1784620061773401900,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.673007513559
33,1784620061773401900,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.673007513559
34,1784620061773401900,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.673007513559
35,1784620061773401900,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.673007513559
36,1784620061773401900,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.673007513559
37,1784620061773401900,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.673007513559
38,1784620061773401900,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.66893536903
39,1784620061773401900,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.66893536903
40,1784620061773401900,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.66893536903
41,1784620061773401900,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.66893536903
42,1784620061773401900,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.689121034189
43,1784620061773401900,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.689121034189
44,1784620061773401900,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.689121034189
45,1784620061773401900,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.689121034189
46,1784620061773401900,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.668935733482
47,1784620061773401900,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.668935733482
48,1784620061773401900,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.668935733482
49,1784620061773401900,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.668935733482
50,1784620061773401900,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.668935733482
51,1784620061773401900,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.668935733482
52,1784620061773401900,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.668935733482
53,1784620061773401900,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.668935733482
54,1784620061773401900,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.668935733482
55,1784620061773401900,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.668935733482
56,1784620061773401900,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.668935733482
57,1784620061773401900,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.668935733482
58,1784620061773401900,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.668935733482
59,1784620061773401900,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.668935733482
