type,side,price,size,ts_ns
snapshot,b,65863.63,0.00961708,1784618834527258500
snapshot,b,65862.40,0.00153174,1784618834527258500
snapshot,b,65862.31,0.01518320,1784618834527258500
snapshot,b,65861.98,0.00531400,1784618834527258500
snapshot,b,65861.13,0.00163700,1784618834527258500
snapshot,b,65860.51,0.61818317,1784618834527258500
snapshot,b,65860.50,1.00000000,1784618834527258500
snapshot,b,65860.14,0.00030002,1784618834527258500
snapshot,b,65860.00,0.02070000,1784618834527258500
snapshot,b,65859.92,0.00001700,1784618834527258500
snapshot,b,65859.76,0.00664251,1784618834527258500
snapshot,b,65859.72,0.00782317,1784618834527258500
snapshot,b,65859.20,0.00153174,1784618834527258500
snapshot,b,65859.03,0.26680634,1784618834527258500
snapshot,b,65859.02,0.09103615,1784618834527258500
snapshot,b,65858.69,0.01518402,1784618834527258500
snapshot,b,65858.38,0.12147275,1784618834527258500
snapshot,b,65858.30,0.02239100,1784618834527258500
snapshot,b,65858.20,0.00005255,1784618834527258500
snapshot,b,65858.00,0.01070000,1784618834527258500
snapshot,b,65857.18,0.10000000,1784618834527258500
snapshot,b,65857.04,0.01518440,1784618834527258500
snapshot,b,65856.53,0.09103615,1784618834527258500
snapshot,b,65856.21,0.00001700,1784618834527258500
snapshot,b,65856.00,0.00153174,1784618834527258500
snapshot,b,65855.94,0.19350468,1784618834527258500
snapshot,b,65855.92,0.06831285,1784618834527258500
snapshot,b,65855.91,0.39060971,1784618834527258500
snapshot,b,65855.90,0.15699471,1784618834527258500
snapshot,b,65855.57,0.00010510,1784618834527258500
snapshot,b,65855.00,0.01000000,1784618834527258500
snapshot,b,65854.72,0.15184938,1784618834527258500
snapshot,b,65854.51,0.09103615,1784618834527258500
snapshot,b,65853.77,0.01518446,1784618834527258500
snapshot,b,65853.60,0.04555578,1784618834527258500
snapshot,b,65853.59,0.13699998,1784618834527258500
snapshot,b,65853.57,0.04593344,1784618834527258500
snapshot,b,65853.10,0.05000000,1784618834527258500
snapshot,b,65852.82,0.04781787,1784618834527258500
snapshot,b,65852.80,0.00153174,1784618834527258500
snapshot,b,65852.50,0.00001700,1784618834527258500
snapshot,b,65852.33,0.18712194,1784618834527258500
snapshot,b,65852.03,0.09103615,1784618834527258500
snapshot,b,65850.82,0.00758612,1784618834527258500
snapshot,b,65850.81,0.14496190,1784618834527258500
snapshot,b,65850.73,0.02070338,1784618834527258500
snapshot,b,65850.71,0.00021020,1784618834527258500
snapshot,b,65850.44,0.00015185,1784618834527258500
snapshot,b,65850.00,0.01754810,1784618834527258500
snapshot,b,65849.96,0.09103615,1784618834527258500
snapshot,b,65849.60,0.00153174,1784618834527258500
snapshot,b,65849.23,0.16524078,1784618834527258500
snapshot,b,65848.80,0.00034774,1784618834527258500
snapshot,b,65848.79,0.00001700,1784618834527258500
